class_label,topic,author_target,text,prompt_used,meta_tone,meta_constraint,model_used
class_3,The Duality of Human Nature,Robert Louis Stevenson,"I watch him from my window as the lamplighter makes his rounds, his pole a fiery wand in the deepening twilight. The man—a pillar of our society, they say—pauses beneath the gaslight's bilious glow, and for an instant, his shadow stretches long and monstrous behind him, a dark, capering fiend tethered to his heels. I see his face, a mask of placid benevolence, but then I hear it—a low, guttural sound caught in his throat, a noise no gentleman should ever make. The wind carries a strange odour on the damp air, not merely of coal smoke and wet stone, but something else, something primal and foul, as if a beast had just passed. It is in these moments I understand that every man’s soul is a locked room, and one can never be certain what manner of creature rattles the door from the inside, desperate for the fog-choked streets of night.","Write a paragraph about 'The Duality of Human Nature' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Mysterious. Perspective: First-person observer. Constraint: Focus heavily on sensory details (sight, sound, smell). Length: 100-200 words.
Output only the text.",Mysterious,"Focus heavily on sensory details (sight, sound, smell).",gemini-pro-latest
class_3,The Violation of the Dead,Robert Louis Stevenson,"The man addressed the fresh earth. The soil was clay-heavy and damp; it clung to the spade. A recent interment, as suspected. He worked with a practiced economy of motion, for the moon was a fickle ally. The cheap pine of the lid splintered with little ceremony. Therein lay the subject, its face a placid mask of wax. Its utility was not yet expended. He affixed the iron hook beneath the jaw, the instrument cold against the colder flesh. A sharp heave brought the thing forth onto the wet grass. This was not sacrilege. It was merely business, a necessary transaction in flesh and bone before the final claim of the worms.","Write a paragraph about 'The Violation of the Dead' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Clinical and detached. Perspective: Third-person limited. Constraint: Keep sentences relatively short and punchy. Length: 100-200 words.
Output only the text.",Clinical and detached,Keep sentences relatively short and punchy.,gemini-pro-latest
class_3,Science vs. The Unexplained,Robert Louis Stevenson,"He held to his science like a holy text. It gave order to the chaos. It named the stars and dissected the worm. All things could be known, he professed. All things could be measured and catalogued. But then came the night. The whisper from a locked room. The shadow that had no owner. His formulas offered no solace. His logic fell silent before such terrors. For the world was an older and a wilder thing than his books allowed. It was a house with many doors, and his reason held the key to but a single one. The others remained stubbornly, dreadfully, shut.","Write a paragraph about 'Science vs. The Unexplained' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Melancholic. Perspective: Third-person limited. Constraint: Keep sentences relatively short and punchy. Length: 100-200 words.
Output only the text.",Melancholic,Keep sentences relatively short and punchy.,gemini-pro-latest
class_3,The Terror of the Sea,Robert Louis Stevenson,"No man aboard the vessel could rightly claim to have seen his face, yet every soul knew his name, spoken only in hushed tones over lukewarm grog: the Terror of the Sea. To the boy squinting at the horizon, his presence was not that of a man at all, but of a change in the weather. He was a pressure drop in the air, a sudden, unaccountable chill that promised a squall from a clear blue sky, a storm that gathers its strength unseen beyond the curve of the world. Whispers told that he commanded the fog itself and that his ship left no wake, but it was the profound silence that followed his name that was most damning—a dead calm in which even the most hardened privateer held his tongue, lest the brewing tempest hear its name invoked and turn its dreadful eye upon them.","Write a paragraph about 'The Terror of the Sea' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Mysterious. Perspective: Third-person limited. Constraint: Use a metaphor involving nature. Length: 100-200 words.
Output only the text.",Mysterious,Use a metaphor involving nature.,gemini-pro-latest
class_3,Folklore & Superstition,Robert Louis Stevenson,"A man might well profess his disbelief by the full light of day, laughing at the old wives’ fancies of wraiths and fetches; yet let the night but draw its curtain, let the wind begin its mimicry of a human cry about the eaves, and you should see the swift and sorry change upon his countenance. For these notions are not matters of the mind alone, but of the blood, and like a pernicious and clinging ivy, they are seeded in the cradle and fed on whispers, winding their tendrils about the very masonry of a man’s resolve. In the high noon of certitude, its presence is a mere shadow, but in that encroaching twilight of fear, its grip is absolute, cracking the stone and letting the damnable chill of the abyss seep through. Hence the sensible man will bolt his door not only against the footpad, but against that which has no substance, for he knows, though he dare not voice it, that some roots run deeper than any anchor can find.","Write a paragraph about 'Folklore & Superstition' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Urgent and fast-paced. Perspective: Third-person omniscient. Constraint: Use a metaphor involving nature. Length: 100-200 words.
Output only the text.",Urgent and fast-paced,Use a metaphor involving nature.,gemini-pro-latest
class_3,The Duality of Human Nature,Robert Louis Stevenson,"The very constitution of man is a divided territory, not unlike some vast and ancient woodland. On its sunlit verges, where virtue and society have cultivated a pleasant demesne, his better nature walks in seemly composure, attending to the orderly affairs of daylight. Yet, this cultivated frontage is but a fringe upon a far deeper and more savage country. Within the tangled, lightless heart of that same wood, where the track is lost and the air grows cold, the primordial beast that lies within every breast stirs in its shadowed lair. For man is ever conscious of this dual geography of his spirit; he may spend his days in the manicured garden, and yet he cannot but feel the pull of that darker thicket, whence whispers the unchained and brutish self he labours so studiously to deny.","Write a paragraph about 'The Duality of Human Nature' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Formal and academic. Perspective: Third-person limited. Constraint: Use a metaphor involving nature. Length: 100-200 words.
Output only the text.",Formal and academic,Use a metaphor involving nature.,gemini-pro-latest
class_3,The Violation of the Dead,Robert Louis Stevenson,"I have often had occasion to contemplate the singular and grievous nature of that profanation which men call the violation of the dead, an act which, in its sordid mechanics, seems to strike not merely at the cold and silent clay we have consigned to the earth, but at the very heart of that solemn compact between the living and those who have gone before. For to disturb the hallowed quietude of the sepulchre is to commit a second and more terrible murder upon the memory of the departed, effacing the dignity with which we seek to clothe our mortal dissolution and replacing the sanctity of repose with an ignominy that reverberates even unto the conscience of posterity. It is a deed so far removed from the common run of human iniquity that it appears less a crime of passion or of need, and more a direct and calculated insult to the inviolate order of the world itself.","Write a paragraph about 'The Violation of the Dead' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Formal and academic. Perspective: First-person observer. Constraint: Use complex, flowing sentence structures with multiple clauses. Length: 100-200 words.
Output only the text.",Formal and academic,"Use complex, flowing sentence structures with multiple clauses.",gemini-pro-latest
class_3,Science vs. The Unexplained,Robert Louis Stevenson,"Mr. Abernathy, a man whose mind was a well-ordered cabinet of facts and figures, observed the spectral light hovering above the moor with a spirit not of fear, but of profound and cheerful curiosity. Where reason demanded an explanation—some trick of swamp gas or an atmospheric anomaly—his heart sang a different tune, one of pure adventure. For what was science, after all, but the brave charting of a vast and mysterious sea? This shimmering phantom was not a contradiction to his work, but a thrilling new coastline sighted in the dawn; it was a grand invitation from the world itself, a promise that for all that man had learned and catalogued, there remained an infinity of wonders yet to be discovered. He felt a lightness in his step, for the unexplained was merely the next sunlit peak toward which a hopeful soul might climb.","Write a paragraph about 'Science vs. The Unexplained' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Optimistic and bright. Perspective: Third-person limited. Constraint: Use at least one semicolon to connect independent clauses. Length: 100-200 words.
Output only the text.",Optimistic and bright,Use at least one semicolon to connect independent clauses.,gemini-pro-latest
class_3,The Terror of the Sea,Robert Louis Stevenson,"I recall the man they called the Terror of the Sea, though I saw him but once on a sun-bleached quay in Bristol. He was not a giant in stature, nor did he bellow and roar as the common tales would have it. Rather, he possessed a stillness that was a hundred times more dreadful. His face, the colour of old mahogany from a thousand scorching suns, was a mask of grim quietude, and his eyes, small and dark, seemed to hold the cold depths of the ocean itself. He moved with a peculiar, rolling gait, as though the firm land were still the unsteady deck of his ship, and the clink of the brass buckle on his belt was the only sound that followed him. The most hardened sailors would fall silent at his approach, their boasts and sea-shanties dying on their lips as if frozen by a sudden squall. He was the calm at the heart of the tempest, and we knew that from such a calm, the most destructive storm was born.","Write a paragraph about 'The Terror of the Sea' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Reflective and nostalgic. Perspective: First-person observer. Constraint: Do not use the word 'very' or 'really'. Length: 100-200 words.
Output only the text.",Reflective and nostalgic,Do not use the word 'very' or 'really'.,gemini-pro-latest
class_3,Folklore & Superstition,Robert Louis Stevenson,"In these remote and salt-scoured parts of the coast, a man of my own time finds himself a stranger not merely to the geography, but to the very century. The folk here, with their weather-beaten countenances and guarded eyes, speak of the ‘sea-wives’ and the ‘grey-men of the bog’ not as fables, but as one might speak of a troublesome neighbour. I confess I held these notions for little more than the rustic fancies of an isolated people; yet when the sun sinks and a queer, piping wind comes crying from the waves, a man feels the cold touch of a belief far older than his own reason. It is a knowledge that lives not in books, but in the blood, and in the sudden, shared silence that falls upon a room when a floorboard creaks in the empty hall above.","Write a paragraph about 'Folklore & Superstition' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Mysterious. Perspective: First-person observer. Constraint: Use at least one semicolon to connect independent clauses. Length: 100-200 words.
Output only the text.",Mysterious,Use at least one semicolon to connect independent clauses.,gemini-pro-latest
class_3,The Duality of Human Nature,Robert Louis Stevenson,"It is in the very constitution of man that this profound duality resides, a truth felt not merely in the intellect but upon the very cobblestones of the city. One may observe the outward gentleman, his countenance a placid mask in the warm, buttery glow of the gaslight, and yet perceive, in a fleeting shadow, the twitch of some baser instinct. The very air is divided; here, the clean, sharp scent of rain-washed stone and expensive cologne gives way, at the turn of a corner, to the sour, damp-earth effluvium of a neglected close. So too with sound: the measured, confident tap of a walking-cane upon the flagstones is answered, from some unseen wynd, by a noise half-sigh, half-snarl, that speaks of a captive spirit raging against the bars of its own fleshly prison.","Write a paragraph about 'The Duality of Human Nature' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Formal and academic. Perspective: Third-person omniscient. Constraint: Focus heavily on sensory details (sight, sound, smell). Length: 100-200 words.
Output only the text.",Formal and academic,"Focus heavily on sensory details (sight, sound, smell).",gemini-pro-latest
class_3,The Violation of the Dead,Robert Louis Stevenson,"A capital night for such an enterprise! The moon, a polished shilling, offered its light freely. Here was no ghoulish business, but a service to the living! The poor soul below, hitherto a tenant of the cold clay, had one last, noble duty to perform. He would become a lesson. He would teach the eager young men of the surgical college. What better fate for an empty vessel? The spade bit deep with a hearty scrape, a sound of pure progress in the quiet dark. This was not a grim trespass, you understand, but a most cheerful and necessary step toward the brighter dawn of knowledge.","Write a paragraph about 'The Violation of the Dead' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Optimistic and bright. Perspective: Third-person omniscient. Constraint: Keep sentences relatively short and punchy. Length: 100-200 words.
Output only the text.",Optimistic and bright,Keep sentences relatively short and punchy.,gemini-pro-latest
class_3,Science vs. The Unexplained,Robert Louis Stevenson,"He clutched the scalpel, its steel a cold and useless comfort. The manifestation in the corner defied all natural law. It was a shadow without a body. A coldness without a wind. His mind, that finely-tuned engine of logic, raced for a name. A trick of the eye? A phantom of an overwrought nerve? He recited axioms like a desperate prayer, but the darkness deepened. It seemed to breathe. It seemed to know him. All his books and bottles, all his precise measurements, were but children’s toys before it. Here was some older, baser truth, a thing that grinned from the abyss just beyond the lamp-light, and his science was struck dumb.","Write a paragraph about 'Science vs. The Unexplained' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Urgent and fast-paced. Perspective: Third-person limited. Constraint: Keep sentences relatively short and punchy. Length: 100-200 words.
Output only the text.",Urgent and fast-paced,Keep sentences relatively short and punchy.,gemini-pro-latest
class_3,The Terror of the Sea,Robert Louis Stevenson,"Is there any terror on the dry and solid earth that may be justly compared to that which dwells upon the face of the deep? For it is not the mere prospect of a watery end that unmans the sailor, but rather a more profound and philosophical horror. It is the dread of absolute nullity; of being but a solitary speck of defiant life adrift upon an infinite and pitiless expanse, where the heavens above and the abyss below conspire in a singular, tumultuous purpose. Here, the wind carries not just the salt spray but the very voice of a malevolent intelligence, and the waves rise, not as hills of insensate water, but as the advancing shoulders of some indomitable and primeval god. In such a contest, the stoutest oaken timbers and the most resolute human will are seen for what they are: a fleeting and impertinent defiance against a power as old and as final as the world itself.","Write a paragraph about 'The Terror of the Sea' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Formal and academic. Perspective: Third-person omniscient. Constraint: Start the paragraph with a rhetorical question. Length: 100-200 words.
Output only the text.",Formal and academic,Start the paragraph with a rhetorical question.,gemini-pro-latest
class_3,Folklore & Superstition,Robert Louis Stevenson,"Who can say at what desolate hour these old wives’ tales first took root in the hearts of men, or in what bitter soil they were begotten? They are breathed into the ear of the child beside the dying hearth-fire, a legacy of shadow passed from one generation to the next; they are seen in the shifting mists upon the moor and heard in the cry of the sea-bird that foretells a coming gale. These are not the cheerful fancies of a sunlit land, but the grim certainties of a people long acquainted with the gloaming and the grave. For in every creak of a ship’s timber, in the glimpsed face of a wraith upon the water, and in the unchancy turning of a card, there lies a spectral logic, a dark and binding grammar of fate from which the soul, for all its modern pride, can never truly be absolved.","Write a paragraph about 'Folklore & Superstition' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Melancholic. Perspective: Third-person omniscient. Constraint: Start the paragraph with a rhetorical question. Length: 100-200 words.
Output only the text.",Melancholic,Start the paragraph with a rhetorical question.,gemini-pro-latest
class_3,The Duality of Human Nature,Robert Louis Stevenson,"From my window, I observe the parade of so-called good men, and I confess a certain grim amusement. There goes a fine gentleman, his countenance a study in pious charity, yet in the shifting gaslight I see the feral glint in his eye—the very same I once spied in a cur fighting over a bone in some wretched close. His voice, a low rumble of pleasantries, cannot quite disguise the dry rasp of judgement within. He carries the scent of expensive lavender water, a cloying perfume that struggles to mask a deeper, rank odour of the soul’s dark cellar. Each man, I’ve found, is merely a well-appointed house built over a squalid den; one need only listen at the door to hear the bestial scratching from within, a desperate and odious sound.","Write a paragraph about 'The Duality of Human Nature' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Cynical. Perspective: First-person observer. Constraint: Focus heavily on sensory details (sight, sound, smell). Length: 100-200 words.
Output only the text.",Cynical,"Focus heavily on sensory details (sight, sound, smell).",gemini-pro-latest
class_3,The Violation of the Dead,Robert Louis Stevenson,"It was a business Mr Heddle had witnessed a dozen times before, yet the sheer, unblinking rapacity of it never failed to settle in his soul like a draught of foul air. The surgeons, with their aprons already spotted and their instruments laid out like a gourmet’s cutlery, spoke of the deceased not as a man, but as a particularly stubborn puzzle box whose secrets were to be prised open for a tuppence. Their curiosity, you see, was no noble quest for knowledge, but something altogether more base; it was the pale, sightless hunger of a fungus, whose threads work their way insidiously through the heartwood of a great fallen oak, not merely consuming the timber but effacing the very memory of the tree. They were not merely carving flesh, a matter of scant consequence to its former tenant, but were with every slice dismantling the last quiet dignity that clothes a man's name after his soul has fled.","Write a paragraph about 'The Violation of the Dead' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Cynical. Perspective: Third-person limited. Constraint: Use a metaphor involving nature. Length: 100-200 words.
Output only the text.",Cynical,Use a metaphor involving nature.,gemini-pro-latest
class_3,Science vs. The Unexplained,Robert Louis Stevenson,"In my own province, which is that of material fact and demonstrable cause, I have ever found it my duty to hold a firm line against those fanciful incursions of what is termed the supernatural, dismissing such tales as belong more properly to the domain of hysteria or to some subtle derangement of the senses. And yet, I must confess to having been, on one singular occasion, a witness to a certain progression of phenomena so utterly repugnant to the established laws of nature that it has left a permanent disquiet in my soul; not of fear, but of a profound and chilling uncertainty, forcing me to consider, against all my training and inclination, that the field of our positive knowledge is but a lighted circle in a vast and encroaching darkness, wherein things may move that are not governed by our physical philosophies.","Write a paragraph about 'Science vs. The Unexplained' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Clinical and detached. Perspective: First-person observer. Constraint: Use complex, flowing sentence structures with multiple clauses. Length: 100-200 words.
Output only the text.",Clinical and detached,"Use complex, flowing sentence structures with multiple clauses.",gemini-pro-latest
class_3,The Terror of the Sea,Robert Louis Stevenson,"They spin their yarns in port of the captain, this so-called Terror of the Sea, but I have watched the man at his work and find the title a rather grandiloquent affair for such a common brute. There is no dark magic in his command, only a sour and profitable cruelty that he wields like a tradesman’s tool. The men, a pack of superstitious curs, mistake his cold avarice for some unholy power; they see a legend where I see only a brutish accountant of blood and dubloons. He promises them glory and delivers only the lash for their backs and the certainty of a watery grave, proving the only true terror upon the waves is the greed that will make a man a monster, and the foolishness that will make others follow him to their doom.","Write a paragraph about 'The Terror of the Sea' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Cynical. Perspective: First-person observer. Constraint: Use at least one semicolon to connect independent clauses. Length: 100-200 words.
Output only the text.",Cynical,Use at least one semicolon to connect independent clauses.,gemini-pro-latest
class_3,Folklore & Superstition,Robert Louis Stevenson,"In my own considerations of the matter, I have come to regard the whole body of folklore and its attendant superstitions as a sort of wild and ancient ivy creeping upon the great edifice of a nation. It springs from the damp, unlettered soil of our most primordial fears and untutored hopes, and it flourishes without leave, clinging with equal tenacity to the great stones of both sacred and secular institution. Here and there, its growth adds a picturesque charm to an otherwise severe countenance, yet in other places it may conceal a certain dampness and decay within the very mortar of society. And though the modern mind, with its bright shears of logic, may seek to prune it back, one finds its tenacious tendrils ever reappearing in the shadowed corners of human fancy.","Write a paragraph about 'Folklore & Superstition' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Formal and academic. Perspective: First-person observer. Constraint: Use a metaphor involving nature. Length: 100-200 words.
Output only the text.",Formal and academic,Use a metaphor involving nature.,gemini-pro-latest
class_3,The Duality of Human Nature,Robert Louis Stevenson,"It hath ever been observed that the soul of a man is not a single, unified country, but rather a landscape divided. Upon one side lies the sunlit, cultivated pasture of his public virtues, a place of orderly conduct and pleasantries shared in the light of day. Yet, bordering it always, separated by a hedge no man can truly fortify, is the primeval wood wherein dwell the unbitted appetites and the stamping, brutish instincts of a forgotten ancestry. And though a gentleman may spend his years tending to his pleasant garden, he remains ever aware of the rustling in that darker half, for the same soil that nurtures the rose gives root to the thorn, and the beast in the thicket is but the shadow of the gentleman in the sun.","Write a paragraph about 'The Duality of Human Nature' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Reflective and nostalgic. Perspective: Third-person omniscient. Constraint: Use a metaphor involving nature. Length: 100-200 words.
Output only the text.",Reflective and nostalgic,Use a metaphor involving nature.,gemini-pro-latest
class_3,The Violation of the Dead,Robert Louis Stevenson,"One sees them at their ghastly business on a raw night. They call it a trade, and perhaps it is. A man’s final dignity is but a brief impediment to profit. I heard the scrape of the spade on stone, and then the dull, final knock upon coffin-wood. They work with a low and hurried industry, these fellows. They do not fear ghosts, you see; they fear only the constable. Out comes the poor wretch, a pale and witless thing stripped of all consequence. His earthly affairs are done, but his flesh has one last part to play upon the surgeon's table. There is a kind of frankness in the act, a squalid honesty. It shows the true coin of human nature when the mourners have all gone home.","Write a paragraph about 'The Violation of the Dead' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Cynical. Perspective: First-person observer. Constraint: Keep sentences relatively short and punchy. Length: 100-200 words.
Output only the text.",Cynical,Keep sentences relatively short and punchy.,gemini-pro-latest
class_3,Science vs. The Unexplained,Robert Louis Stevenson,"Dr. Alistair Finch was a man of cold fact. He trusted only the demonstrable, what could be weighed and measured. The universe was a grand engine; he, a humble mechanic at its gears. But a new sensation had taken root in his study. It was a presence. A chill that owed nothing to the draught. His instruments, so precise and truthful, lay silent. His logic, a fortress built over a lifetime, showed sudden cracks. A watcher stood in the shadows of his own rooms, a thing which his science could not name. His reason could not banish it. And in this utter failure of the known world, a deeper, primal dread began to stir within his very soul.","Write a paragraph about 'Science vs. The Unexplained' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Mysterious. Perspective: Third-person limited. Constraint: Keep sentences relatively short and punchy. Length: 100-200 words.
Output only the text.",Mysterious,Keep sentences relatively short and punchy.,gemini-pro-latest
